
units = {
	navy = {
		name = "1st CSA Fleet"
		base = 3878
		location = 3878
		ship = { name = "CSS Liberator" definition = battleship equipment = { battleship_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Revolution" definition = battleship equipment = { battleship_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Reed" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Erie" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Huron" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS People's Will" definition = battleship equipment = { battleship_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Illuminator" definition = battleship equipment = { battleship_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Berkman" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Michigan" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Superior" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS International" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Partisan" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Cherry" definition = submarine equipment = { submarine_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Red" definition = submarine equipment = { submarine_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Rose" definition = submarine equipment = { submarine_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Crimson" definition = submarine equipment = { submarine_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Blood" definition = submarine equipment = { submarine_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Scarlet" definition = submarine equipment = { submarine_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Sangria" definition = submarine equipment = { submarine_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Currant" definition = submarine equipment = { submarine_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Overpass" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Usher" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Joker" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Schachtman" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Anderson" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Curran" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = CSA } } }
		ship = { name = "CSS Mulzac" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = CSA } } }
