From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment

#### Canals

2729;2408;sea;3231;3368;317;6257;6389;KIEL_CANAL;Kiel Canal
8857;2284;sea;7617;1560;1009;1556;1016;PANAMA_CANAL;Panama
5388;803;sea;1155;-1;-1;-1;-1;SUEZ_CANAL;Suez

#### Straits

5412;7678;;-1;-1;-1;-1;-1;BOSPHORUS_STRAIT;Bosphorus
2431;2408;;-1;-1;-1;-1;-1;DANISH_BELTS_STRAIT;Øresund
2431;2382;;-1;-1;-1;-1;-1;DANISH_BELTS_STRAIT;Øresund
7452;7678;;-1;-1;-1;-1;-1;DARDANELLES_STRAIT;Dardanelles
5407;5382;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;Gibraltar North
5407;2400;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;Gibraltar South
2776;2800;;-1;-1;-1;-1;-1;ADEN_STRAIT;Bab el-Mandeb
2919;2666;;-1;-1;-1;-1;-1;HORMUZ_STRAIT;Tangeh-ye Hormoz
5539;5960;;-1;-1;-1;-1;-1;MALACCA_STRAIT;Straße von Malakka
5681;13658;;-1;-1;-1;-1;-1;MESSINA_STRAIT;Stretto di Messina
8791;7932;;-1;-1;-1;-1;-1;SHIMONOSEKI_STRAIT;Shimonoseki-kaikyō

#### Land Routes

8108;13749;land;5081;3645;1029;3676;1019;;Rub al Khali

2049;10788;;-1;-1;-1;-1;-1;TRANSSAHARIAN_ROUTE;Transsaharian
4903;5101;;-1;-1;-1;-1;-1;TRANSSAHARIAN_ROUTE;Transsaharian
5035;5101;;-1;2871;1159;2807;938;TRANSSAHARIAN_ROUTE;Transsaharian
8061;5101;;-1;2924;1147;2832;918;TRANSSAHARIAN_ROUTE;Transsaharian
12842;10788;;-1;2800;1167;2769;944;TRANSSAHARIAN_ROUTE;Transsaharian

#### Naval Crossings

22;3016;sea;5792;-1;-1;-1;-1;;Northern-Straits
44;11050;sea;5792;-1;-1;-1;-1;;Northern-Straits
83;185;sea;1885;-1;-1;-1;-1;;Estonia-Ösel
83;6201;sea;1660;-1;-1;-1;-1;;Dagö-Estonia
177;7123;sea;5533;-1;-1;-1;-1;;Martinique-Dominica
185;6201;sea;1885;-1;-1;-1;-1;;Ösel-Dagö
299;211;sea;2282;-1;-1;-1;-1;;Småland-Öland
379;11350;sea;5533;-1;-1;-1;-1;;St Vincent-Barbados
379;13009;sea;5533;-1;-1;-1;-1;;St Vincent-St Lucia
394;6235;sea;2455;-1;-1;-1;-1;;Jutland-Norrejyske
480;9431;sea;8621;-1;-1;-1;-1;;Netherlands outlier
